neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
Waterfront Communities-The Island,43.641890000000004,-79.38985,Entire home/apt,289,2,12,356
Waterfront Communities-The Island,43.64308,-79.3791,Entire home/apt,128,2,5,0
Waterfront Communities-The Island,43.64553,-79.40218,Entire home/apt,113,3,1,0
Waterfront Communities-The Island,43.64006,-79.39882,Entire home/apt,99,15,0,0
Kensington-Chinatown,43.654759999999996,-79.39079,Private room,101,1,0,0
Waterfront Communities-The Island,43.64028,-79.38405,Entire home/apt,240,2,2,363
Willowdale East,43.78188,-79.40593,Entire home/apt,150,1,112,104
Little Portugal,43.64907,-79.42469,Entire home/apt,166,7,1,0
Newtonbrook West,43.78164,-79.41793,Entire home/apt,134,1,3,302
South Parkdale,43.63524,-79.43574,Entire home/apt,115,2,91,331
Corso Italia-Davenport,43.677409999999995,-79.43921999999999,Entire home/apt,200,7,1,0
University,43.66585,-79.40413000000001,Private room,65,3,71,0
Wychwood,43.67539,-79.42834,Private room,30,1,25,352
Wychwood,43.67355,-79.42634,Private room,30,1,52,321
Blake-Jones,43.67817,-79.33107,Private room,65,1,110,0
South Parkdale,43.63986,-79.42931,Entire home/apt,70,3,0,41
Waterfront Communities-The Island,43.64438,-79.37645,Private room,70,2,0,0
East End-Danforth,43.68468,-79.29699000000001,Private room,40,18,35,318
Bedford Park-Nortown,43.71712,-79.42747,Entire home/apt,89,2,147,302
Niagara,43.64412,-79.40621999999999,Entire home/apt,101,1,23,0
High Park-Swansea,43.64991,-79.45485,Entire home/apt,187,7,3,14
South Riverdale,43.66026,-79.3409,Entire home/apt,85,1,247,309
High Park North,43.662009999999995,-79.47107,Entire home/apt,65,3,3,0
New Toronto,43.59904,-79.51194,Private room,56,2,66,288
Newtonbrook East,43.78113,-79.41199999999999,Private room,58,1,5,92
Kingsview Village-The Westway,43.69645,-79.55121,Private room,60,1,24,364
Niagara,43.6374,-79.40118000000001,Entire home/apt,90,2,3,0
Moss Park,43.65787,-79.36979000000001,Private room,40,1,44,22
Newtonbrook West,43.78585,-79.42254,Private room,45,1,75,361
Palmerston-Little Italy,43.66217,-79.41241,Private room,105,3,26,63
Banbury-Don Mills,43.72984,-79.33599,Private room,50,1,59,42
Church-Yonge Corridor,43.662490000000005,-79.38152,Entire home/apt,87,3,2,0
Annex,43.67364,-79.39953,Entire home/apt,79,1,272,54
Scarborough Village,43.742340000000006,-79.21826,Private room,40,1,0,0
Henry Farm,43.77128,-79.34044,Entire home/apt,119,3,2,0
Waterfront Communities-The Island,43.64415,-79.39206,Entire home/apt,110,5,147,337
Dufferin Grove,43.660740000000004,-79.43012,Entire home/apt,124,1,11,250
Waterfront Communities-The Island,43.63985,-79.39491,Entire home/apt,150,2,28,0
New Toronto,43.59868,-79.51029,Private room,44,2,80,0
Niagara,43.6414,-79.41521999999999,Entire home/apt,199,3,82,147
Waterfront Communities-The Island,43.6425,-79.40111999999999,Entire home/apt,225,2,14,0
West Hill,43.773540000000004,-79.17074000000001,Private room,26,2,31,103
Roncesvalles,43.64354,-79.4441,Entire home/apt,250,2,5,0
Kensington-Chinatown,43.6503,-79.3982,Entire home/apt,175,2,226,22
Kensington-Chinatown,43.6503,-79.39864,Entire home/apt,162,2,215,23
The Beaches,43.66829,-79.30625,Entire home/apt,73,1,93,80
Waterfront Communities-The Island,43.647290000000005,-79.38757,Entire home/apt,110,180,0,71
Trinity-Bellwoods,43.64573,-79.42173000000001,Entire home/apt,102,2,202,69
Willowdale East,43.762440000000005,-79.40853,Entire home/apt,150,5,13,360
Waterfront Communities-The Island,43.64009,-79.39661,Entire home/apt,200,3,38,81
Niagara,43.63528,-79.4015,Entire home/apt,155,4,0,0
North St.James Town,43.667790000000004,-79.37557,Entire home/apt,99,30,1,0
Oakwood Village,43.68892,-79.44021,Entire home/apt,119,3,98,112
Dovercourt-Wallace Emerson-Junction,43.66352,-79.42488,Entire home/apt,95,2,84,137
Willowdale West,43.767720000000004,-79.41573000000001,Entire home/apt,90,25,0,0
Waterfront Communities-The Island,43.64437,-79.38835,Entire home/apt,219,1,53,336
Church-Yonge Corridor,43.66398,-79.38251,Private room,299,3,0,177
Trinity-Bellwoods,43.64866,-79.40862,Entire home/apt,79,2,20,43
Bay Street Corridor,43.6644,-79.38745,Entire home/apt,150,2,24,0
Humber Heights-Westmount,43.70092,-79.52832,Entire home/apt,70,14,9,54
Palmerston-Little Italy,43.66053,-79.42791,Entire home/apt,121,3,11,0
The Beaches,43.66663,-79.30337,Entire home/apt,140,2,13,0
Annex,43.6718,-79.40239,Entire home/apt,79,1,236,81
Waterfront Communities-The Island,43.64266,-79.38105999999999,Entire home/apt,185,1,69,306
South Parkdale,43.635020000000004,-79.43927,Private room,78,2,40,342
High Park North,43.65594,-79.46212,Private room,73,2,0,0
Waterfront Communities-The Island,43.63831,-79.39755,Entire home/apt,170,28,3,67
Mimico (includes Humber Bay Shores),43.62344,-79.48161,Entire home/apt,139,200,27,364
South Riverdale,43.66068,-79.33202,Entire home/apt,75,2,128,124
Dovercourt-Wallace Emerson-Junction,43.663999999999994,-79.43576999999999,Private room,56,2,15,37
Oakwood Village,43.68788,-79.4446,Private room,45,2,0,0
Willowdale East,43.764920000000004,-79.41165,Private room,101,1,9,0
Waterfront Communities-The Island,43.6377,-79.39886,Entire home/apt,99,2,2,351
University,43.65957,-79.40048,Entire home/apt,105,1,5,0
Kensington-Chinatown,43.65098,-79.39796,Private room,68,1,100,108
Dufferin Grove,43.65798,-79.44111,Entire home/apt,95,7,11,39
Dufferin Grove,43.65739,-79.44096,Entire home/apt,79,1,185,65
The Beaches,43.670159999999996,-79.28924,Entire home/apt,86,1,232,336
Islington-City Centre West,43.64598,-79.52554,Entire home/apt,60,3,11,0
Waterfront Communities-The Island,43.64537,-79.37515,Entire home/apt,150,90,158,289
East End-Danforth,43.68228,-79.30966,Entire home/apt,136,2,23,309
Palmerston-Little Italy,43.65755,-79.41479,Entire home/apt,87,5,31,0
Lawrence Park South,43.70568,-79.41131,Private room,168,1,4,0
Greenwood-Coxwell,43.68121,-79.32711,Entire home/apt,195,2,4,0
Oakwood Village,43.68591,-79.44495,Entire home/apt,65,1,28,75
West Hill,43.77497,-79.1722,Private room,34,3,42,133
Clairlea-Birchmount,43.70633,-79.27546,Private room,50,2,7,0
Highland Creek,43.794959999999996,-79.17276,Private room,75,2,12,359
Waterfront Communities-The Island,43.64373,-79.38835999999999,Entire home/apt,160,2,240,206
South Riverdale,43.65854,-79.34251,Entire home/apt,175,2,6,0
The Beaches,43.67592,-79.30287,Entire home/apt,109,4,62,27
Waterfront Communities-The Island,43.64131,-79.39655,Entire home/apt,135,1,366,325
Parkwoods-Donalda,43.7459,-79.3385,Private room,75,1,12,0
Dovercourt-Wallace Emerson-Junction,43.668209999999995,-79.43633,Entire home/apt,70,2,52,256
Yorkdale-Glen Park,43.70615,-79.46755999999999,Private room,34,1,215,0
University,43.66115,-79.40254,Private room,56,2,6,0
University,43.66025,-79.4027,Private room,65,2,16,0
University,43.661609999999996,-79.40176,Private room,75,2,13,0
University,43.65998,-79.40071,Private room,65,2,8,0
University,43.66028,-79.40199,Private room,65,2,9,0
West Humber-Clairville,43.73375,-79.59956,Private room,65,1,9,165
University,43.65983,-79.40118000000001,Private room,65,2,17,0
High Park-Swansea,43.63542,-79.47198,Entire home/apt,101,1,2,28
Dufferin Grove,43.65753,-79.44175,Private room,42,1,91,50
University,43.661159999999995,-79.40044,Private room,65,2,8,0
Willowdale East,43.75976,-79.40739,Private room,49,1,11,0
Bay Street Corridor,43.65405,-79.38486,Private room,60,1,43,356
Bay Street Corridor,43.6504,-79.38701,Entire home/apt,135,28,7,355
Oakwood Village,43.68931,-79.43602,Private room,26,5,2,0
Cabbagetown-South St.James Town,43.66366,-79.37508000000001,Entire home/apt,82,3,4,0
Dovercourt-Wallace Emerson-Junction,43.66826,-79.42596999999999,Entire home/apt,121,14,3,0
Keelesdale-Eglinton West,43.68873,-79.46415999999999,Entire home/apt,60,1,108,164
Church-Yonge Corridor,43.658770000000004,-79.38069,Entire home/apt,135,5,17,0
Taylor-Massey,43.69582,-79.29457,Private room,46,1,18,0
Danforth,43.68108,-79.33448,Entire home/apt,56,3,35,68
Waterfront Communities-The Island,43.63862,-79.38495999999999,Entire home/apt,150,2,4,0
Church-Yonge Corridor,43.65448,-79.37984,Entire home/apt,200,180,0,358
Mimico (includes Humber Bay Shores),43.620540000000005,-79.50473000000001,Entire home/apt,70,1,112,158
Danforth,43.68003,-79.34031,Entire home/apt,163,4,19,0
Annex,43.67125,-79.40265,Private room,56,2,4,0
Yonge-Eglinton,43.70104,-79.3973,Entire home/apt,150,1,0,0
Alderwood,43.60857,-79.55006999999999,Private room,45,1,168,69
O'Connor-Parkview,43.708890000000004,-79.30041,Entire home/apt,85,1,129,69
University,43.663759999999996,-79.40576999999999,Private room,279,3,0,0
Bayview Village,43.786640000000006,-79.36761,Private room,23,1,0,0
Waterfront Communities-The Island,43.64865,-79.38763,Entire home/apt,299,1,86,179
Keelesdale-Eglinton West,43.68734,-79.46699,Private room,23,1,11,257
Woburn,43.76869,-79.23272,Entire home/apt,229,5,5,333
Keelesdale-Eglinton West,43.689479999999996,-79.46846,Private room,26,1,9,350
Waterfront Communities-The Island,43.64167,-79.39371,Entire home/apt,160,1,11,0
Annex,43.66832,-79.40581,Entire home/apt,139,1,13,14
Dufferin Grove,43.65633,-79.44693000000001,Entire home/apt,78,1,7,0
Oakwood Village,43.68873,-79.44558,Entire home/apt,49,30,24,274
Annex,43.67223,-79.41199,Private room,81,1,83,310
North St.James Town,43.668820000000004,-79.3788,Private room,101,5,0,0
Bay Street Corridor,43.661390000000004,-79.38465,Private room,72,1,10,0
Church-Yonge Corridor,43.66295,-79.38123,Entire home/apt,101,10,27,0
Lansing-Westgate,43.75703,-79.4116,Entire home/apt,189,4,15,0
Willowdale East,43.76229,-79.40937,Entire home/apt,128,5,22,315
Englemount-Lawrence,43.71714,-79.44343,Private room,50,2,3,74
Greenwood-Coxwell,43.66653,-79.32474,Entire home/apt,119,10,6,317
Bathurst Manor,43.7534,-79.45326999999999,Entire home/apt,50,20,5,256
Dufferin Grove,43.65674,-79.42777,Private room,172,5,3,327
Niagara,43.63442,-79.4152,Entire home/apt,106,2,3,0
Danforth,43.68206,-79.34584,Entire home/apt,75,5,0,0
Birchcliffe-Cliffside,43.6753,-79.27941,Entire home/apt,150,2,22,94
Mount Pleasant West,43.705220000000004,-79.39753,Entire home/apt,140,150,0,365
Little Portugal,43.6512,-79.42634,Entire home/apt,140,13,0,0
Yonge-Eglinton,43.70283,-79.40751,Entire home/apt,85,1,3,0
Playter Estates-Danforth,43.68025,-79.36098,Entire home/apt,94,3,34,162
Moss Park,43.65417,-79.37145,Entire home/apt,150,4,21,0
Yonge-Eglinton,43.71082,-79.40511,Private room,79,1,5,0
Waterfront Communities-The Island,43.640879999999996,-79.39249000000001,Entire home/apt,150,1,29,82
Willowdale East,43.75855,-79.40499,Private room,79,1,1,0
Niagara,43.64176,-79.41585,Entire home/apt,150,2,12,0
Trinity-Bellwoods,43.64606,-79.40969,Entire home/apt,65,2,184,69
Blake-Jones,43.68018,-79.33188,Entire home/apt,65,3,7,0
Willowdale West,43.775240000000004,-79.41963,Entire home/apt,101,1,1,0
Lansing-Westgate,43.7451,-79.4347,Private room,38,1,1,0
Little Portugal,43.64167,-79.42374000000001,Entire home/apt,115,5,42,0
Dufferin Grove,43.65952,-79.43025,Entire home/apt,81,1,11,0
Clairlea-Birchmount,43.70828,-79.27848,Private room,44,1,0,358
High Park-Swansea,43.64377,-79.4522,Entire home/apt,69,1,181,315
Kensington-Chinatown,43.64925,-79.40368000000001,Private room,65,2,63,77
Trinity-Bellwoods,43.64867,-79.40816,Private room,56,1,173,1
Little Portugal,43.65226,-79.42593000000001,Private room,34,1,0,0
University,43.65917,-79.40218,Private room,52,99,0,0
West Humber-Clairville,43.72305,-79.58337,Private room,53,2,34,0
Waterfront Communities-The Island,43.6376,-79.38975,Private room,70,1,1,0
South Parkdale,43.638709999999996,-79.4376,Entire home/apt,60,2,12,0
Annex,43.66887,-79.40743,Entire home/apt,121,2,1,0
Church-Yonge Corridor,43.65487,-79.37893000000001,Entire home/apt,152,2,9,265
Danforth,43.68483,-79.31692,Private room,56,1,120,186
Waterfront Communities-The Island,43.64775,-79.39373,Private room,101,2,62,9
Bathurst Manor,43.75295,-79.45766,Private room,30,1,2,161
Yorkdale-Glen Park,43.71389,-79.45045,Entire home/apt,160,3,2,0
Willowdale East,43.760940000000005,-79.41034,Entire home/apt,144,3,69,0
Waterfront Communities-The Island,43.64177,-79.3915,Entire home/apt,283,2,20,356
Palmerston-Little Italy,43.65603,-79.41596,Entire home/apt,135,4,2,9
Keelesdale-Eglinton West,43.6882,-79.46675,Private room,25,1,7,348
Niagara,43.63799,-79.41408,Entire home/apt,115,1,4,0
Old East York,43.692029999999995,-79.34186,Private room,56,1,0,0
Greenwood-Coxwell,43.6801,-79.32966,Private room,34,2,13,0
Dovercourt-Wallace Emerson-Junction,43.66223,-79.44104,Entire home/apt,85,2,1,0
Regent Park,43.66033,-79.36231,Entire home/apt,66,1,0,0
Newtonbrook West,43.77941,-79.42333,Entire home/apt,72,7,13,2
Keelesdale-Eglinton West,43.68925,-79.46826999999999,Private room,24,1,7,349
Mount Pleasant West,43.69689,-79.39493,Entire home/apt,90,2,45,0
Mount Pleasant West,43.711090000000006,-79.39827,Private room,40,2,19,0
Blake-Jones,43.67776,-79.33632,Entire home/apt,124,7,0,0
Rockcliffe-Smythe,43.6669,-79.50033,Entire home/apt,79,2,0,0
Blake-Jones,43.67835,-79.33894000000001,Entire home/apt,99,2,193,312
Clairlea-Birchmount,43.705420000000004,-79.27693000000001,Private room,45,2,66,0
Kensington-Chinatown,43.65488,-79.40455,Entire home/apt,56,1,182,108
Clairlea-Birchmount,43.7155,-79.26099,Private room,49,4,9,0
Don Valley Village,43.78646,-79.34344,Private room,60,1,2,89
Long Branch,43.59511,-79.52713,Entire home/apt,53,1,1,0
Dovercourt-Wallace Emerson-Junction,43.6629,-79.44291,Entire home/apt,75,5,28,13
Palmerston-Little Italy,43.66048,-79.4128,Entire home/apt,189,6,48,318
Waterfront Communities-The Island,43.643370000000004,-79.40177,Entire home/apt,136,21,9,0
South Riverdale,43.66531,-79.34241,Entire home/apt,117,3,4,0
Kensington-Chinatown,43.65548,-79.39978,Entire home/apt,87,1,233,256
Waterfront Communities-The Island,43.64117,-79.40077,Entire home/apt,115,7,5,11
Cabbagetown-South St.James Town,43.666059999999995,-79.37491,Entire home/apt,135,2,22,0
Roncesvalles,43.644220000000004,-79.4437,Private room,42,6,24,31
Mount Pleasant West,43.70568,-79.39301999999999,Private room,34,10,2,0
South Parkdale,43.636520000000004,-79.43066,Entire home/apt,70,2,4,0
Broadview North,43.684709999999995,-79.35444,Entire home/apt,64,1,189,341
Mount Pleasant West,43.70636,-79.39726,Entire home/apt,70,10,1,0
Dovercourt-Wallace Emerson-Junction,43.66328,-79.44213,Private room,101,2,53,88
Kensington-Chinatown,43.658190000000005,-79.39231,Private room,101,2,1,171
Dovercourt-Wallace Emerson-Junction,43.66717,-79.42884000000001,Private room,46,1,64,315
Annex,43.67228,-79.41192,Entire home/apt,199,2,7,0
Waterfront Communities-The Island,43.645559999999996,-79.39315,Private room,69,1,3,0
Palmerston-Little Italy,43.66153,-79.42766,Private room,106,1,0,89
The Beaches,43.67357,-79.30566999999999,Entire home/apt,185,3,3,0
High Park North,43.65988,-79.46013,Private room,150,7,1,0
Annex,43.67112,-79.40630999999999,Private room,56,1,6,0
Little Portugal,43.64842,-79.4323,Entire home/apt,90,2,2,0
Palmerston-Little Italy,43.66129,-79.42156999999999,Entire home/apt,99,3,13,0
Waterfront Communities-The Island,43.644040000000004,-79.39846999999999,Entire home/apt,130,2,21,0
Bendale,43.745020000000004,-79.26538000000001,Private room,58,2,1,0
Yonge-Eglinton,43.70629,-79.40855,Private room,159,2,0,0
University,43.65747,-79.40298,Private room,49,3,31,0
Waterfront Communities-The Island,43.64069,-79.39217,Entire home/apt,189,1,210,0
Playter Estates-Danforth,43.68027,-79.3535,Private room,46,3,9,288
Keelesdale-Eglinton West,43.6888,-79.46854,Private room,23,1,6,340
Dovercourt-Wallace Emerson-Junction,43.66144,-79.45379,Entire home/apt,250,2,15,0
Greenwood-Coxwell,43.66981,-79.32413000000001,Entire home/apt,75,2,23,73
Waterfront Communities-The Island,43.643359999999994,-79.39259,Entire home/apt,123,3,2,0
Trinity-Bellwoods,43.64414,-79.41955,Entire home/apt,128,3,27,0
Waterfront Communities-The Island,43.64221,-79.40086,Entire home/apt,85,2,37,146
Broadview North,43.68316,-79.34706,Private room,75,2,0,0
Kensington-Chinatown,43.65532,-79.40374,Private room,79,1,19,0
Broadview North,43.68572,-79.34863,Entire home/apt,124,7,2,0
Waterfront Communities-The Island,43.64477,-79.40179,Entire home/apt,115,21,8,0
Keelesdale-Eglinton West,43.683820000000004,-79.46618000000001,Entire home/apt,78,2,15,205
Long Branch,43.58671,-79.54168,Entire home/apt,200,4,17,0
Niagara,43.63803,-79.40696,Private room,60,1,37,38
Waterfront Communities-The Island,43.64265,-79.3824,Entire home/apt,199,2,1,0
Trinity-Bellwoods,43.65187,-79.41618000000001,Entire home/apt,200,3,4,0
Waterfront Communities-The Island,43.64095,-79.38243,Entire home/apt,200,3,41,177
Woodbine Corridor,43.68486,-79.313,Private room,50,1,1,0
South Parkdale,43.6358,-79.42724,Entire home/apt,65,1,88,17
Bay Street Corridor,43.651759999999996,-79.38255,Entire home/apt,127,2,7,0
Don Valley Village,43.78338,-79.34116,Entire home/apt,79,5,79,162
Glenfield-Jane Heights,43.75334,-79.51103,Private room,50,1,0,0
Waterfront Communities-The Island,43.64505,-79.39265999999999,Entire home/apt,159,3,163,159
Waterfront Communities-The Island,43.64351,-79.37648,Private room,82,7,0,0
Corso Italia-Davenport,43.67496,-79.43500999999999,Private room,61,1,63,0
Mount Dennis,43.69112,-79.50744,Private room,75,1,0,0
Little Portugal,43.64092,-79.42389,Private room,46,2,0,0
Niagara,43.64107,-79.41344000000001,Entire home/apt,150,3,0,0
Trinity-Bellwoods,43.65293,-79.41402,Entire home/apt,287,2,22,3
Waterfront Communities-The Island,43.64938,-79.39274,Entire home/apt,110,1,14,0
Niagara,43.636559999999996,-79.4191,Entire home/apt,200,1,21,0
Waterfront Communities-The Island,43.64349,-79.38842,Entire home/apt,211,5,33,254
Willowdale West,43.77625,-79.42175999999999,Private room,45,1,75,246
Church-Yonge Corridor,43.66767,-79.38314,Private room,110,1,108,311
Palmerston-Little Italy,43.66021,-79.416,Entire home/apt,250,6,2,0
Little Portugal,43.641090000000005,-79.42445,Hotel room,144,30,3,316
Little Portugal,43.65115,-79.43504,Entire home/apt,79,2,151,334
Annex,43.669309999999996,-79.39948000000001,Entire home/apt,90,4,14,0
South Riverdale,43.66035,-79.34076,Entire home/apt,77,1,272,351
Alderwood,43.608670000000004,-79.55165,Private room,26,1,1,0
Victoria Village,43.74089,-79.31817,Private room,73,1,0,364
South Parkdale,43.63348,-79.42879,Entire home/apt,124,2,28,27
Keelesdale-Eglinton West,43.68871,-79.4674,Private room,23,1,15,348
Roncesvalles,43.64096,-79.44538,Entire home/apt,134,1,313,149
South Riverdale,43.67143,-79.32998,Entire home/apt,105,1,0,0
Palmerston-Little Italy,43.65575,-79.42147,Entire home/apt,130,2,1,0
South Riverdale,43.66174,-79.3408,Private room,101,1,112,252
Dufferin Grove,43.65785,-79.44506,Private room,40,1,0,0
Highland Creek,43.79583,-79.18391,Private room,65,3,1,0
Newtonbrook West,43.78232,-79.42545,Private room,113,1,10,180
Dovercourt-Wallace Emerson-Junction,43.66861,-79.42428000000001,Entire home/apt,75,2,59,115
Palmerston-Little Italy,43.66048,-79.41145999999999,Entire home/apt,102,1,171,79
Dovercourt-Wallace Emerson-Junction,43.65996,-79.45146,Entire home/apt,36,7,2,5
Church-Yonge Corridor,43.666090000000004,-79.37949,Entire home/apt,150,5,0,0
Waterfront Communities-The Island,43.64163,-79.38226999999999,Entire home/apt,159,1,95,56
The Beaches,43.673770000000005,-79.30516999999999,Entire home/apt,79,3,62,33
Little Portugal,43.6446,-79.42423000000001,Entire home/apt,260,21,4,287
Trinity-Bellwoods,43.6449,-79.42279,Entire home/apt,275,28,16,352
High Park North,43.65485,-79.46486,Entire home/apt,101,2,2,0
South Parkdale,43.635490000000004,-79.42634,Entire home/apt,45,1,78,0
North St.James Town,43.67038,-79.37598,Private room,150,4,1,0
Humewood-Cedarvale,43.6957,-79.43385,Entire home/apt,226,20,4,0
Wychwood,43.68006,-79.43358,Shared room,40,1,0,0
Kensington-Chinatown,43.65522,-79.40386,Private room,60,2,184,69
Runnymede-Bloor West Village,43.66515,-79.49306,Entire home/apt,250,4,6,198
Oakwood Village,43.68656,-79.43439000000001,Entire home/apt,166,2,88,151
Greenwood-Coxwell,43.67605,-79.32785,Private room,34,3,120,0
The Beaches,43.67548,-79.30375,Entire home/apt,89,3,77,41
The Beaches,43.675090000000004,-79.30471999999999,Entire home/apt,89,3,66,80
Little Portugal,43.64356,-79.42744,Private room,60,1,2,0
Waterfront Communities-The Island,43.64012,-79.38526999999999,Entire home/apt,110,2,14,0
Kensington-Chinatown,43.65603,-79.40347,Entire home/apt,132,2,78,11
Waterfront Communities-The Island,43.641020000000005,-79.39001,Entire home/apt,139,3,15,198
South Parkdale,43.63805,-79.44485999999999,Entire home/apt,50,2,0,0
Waterfront Communities-The Island,43.64204,-79.38136999999999,Entire home/apt,150,3,39,0
Niagara,43.64167,-79.41509,Entire home/apt,200,5,3,0
Bayview Village,43.77189,-79.37569,Private room,53,1,21,5
Waterfront Communities-The Island,43.641729999999995,-79.3818,Entire home/apt,99,1,233,11
Waterfront Communities-The Island,43.639140000000005,-79.39711,Entire home/apt,121,2,7,0
Waterfront Communities-The Island,43.64226,-79.39716999999999,Entire home/apt,219,1,54,115
High Park North,43.6563,-79.46706999999999,Shared room,33,1,1,0
Church-Yonge Corridor,43.66836,-79.38436999999999,Entire home/apt,170,1,17,0
Palmerston-Little Italy,43.658840000000005,-79.42822,Entire home/apt,187,3,17,165
Kensington-Chinatown,43.656859999999995,-79.40134,Entire home/apt,250,2,3,0
Bay Street Corridor,43.655359999999995,-79.38448000000001,Private room,75,2,3,0
O'Connor-Parkview,43.70284,-79.30306,Private room,45,7,0,0
Wychwood,43.6743,-79.42272,Entire home/apt,185,14,1,0
Waterfront Communities-The Island,43.64135,-79.38225,Entire home/apt,95,3,3,0
Waterfront Communities-The Island,43.64162,-79.38373,Entire home/apt,250,2,14,74
The Beaches,43.6739,-79.30691,Entire home/apt,109,4,32,311
Little Portugal,43.64376,-79.42732,Entire home/apt,79,1,0,0
Banbury-Don Mills,43.74252,-79.35449,Entire home/apt,85,5,9,76
Yonge-St.Clair,43.6915,-79.39669,Private room,44,1,0,0
Woodbine-Lumsden,43.69095,-79.31418000000001,Entire home/apt,278,2,9,364
Waterfront Communities-The Island,43.645379999999996,-79.39826,Entire home/apt,193,3,10,0
Junction Area,43.663309999999996,-79.45825,Private room,68,2,36,0
Mimico (includes Humber Bay Shores),43.62209,-79.48129,Entire home/apt,140,2,113,4
Waterfront Communities-The Island,43.64439,-79.38790999999999,Entire home/apt,180,1,172,0
Bay Street Corridor,43.65337,-79.38754,Entire home/apt,230,1,23,0
High Park North,43.65398,-79.46761,Entire home/apt,170,25,1,0
Dovercourt-Wallace Emerson-Junction,43.662409999999994,-79.42455,Shared room,40,1,13,4
Corso Italia-Davenport,43.6829,-79.45348,Private room,45,2,28,127
Little Portugal,43.64282,-79.42262,Entire home/apt,121,1,2,0
Waterfront Communities-The Island,43.64049,-79.38291,Entire home/apt,107,1,0,0
Dovercourt-Wallace Emerson-Junction,43.66388,-79.45399,Private room,58,1,10,0
Niagara,43.64395,-79.41444,Entire home/apt,265,14,3,266
South Riverdale,43.66592,-79.33575,Entire home/apt,260,2,10,334
Waterfront Communities-The Island,43.641740000000006,-79.38072,Entire home/apt,200,7,12,1
Hillcrest Village,43.80196,-79.35945,Private room,60,1,0,42
Bay Street Corridor,43.663000000000004,-79.38763,Entire home/apt,170,3,10,10
Waterfront Communities-The Island,43.64718,-79.39163,Entire home/apt,101,1,229,58
South Riverdale,43.65824,-79.34406,Entire home/apt,150,2,264,37
Taylor-Massey,43.69576,-79.2921,Private room,40,1,14,348
Waterfront Communities-The Island,43.646209999999996,-79.38994,Entire home/apt,144,24,9,0
Waterfront Communities-The Island,43.63726,-79.39716999999999,Entire home/apt,250,2,10,0
Waterfront Communities-The Island,43.644059999999996,-79.40016999999999,Entire home/apt,293,4,2,180
Moss Park,43.65489,-79.36641999999999,Entire home/apt,211,1,42,231
North St.James Town,43.6708,-79.37279000000001,Entire home/apt,119,2,145,136
Rexdale-Kipling,43.72725,-79.57125,Private room,30,1,1,0
Dovercourt-Wallace Emerson-Junction,43.66231,-79.43054000000001,Entire home/apt,106,2,153,126
Waterfront Communities-The Island,43.64053,-79.39913,Entire home/apt,150,2,148,3
Taylor-Massey,43.69401,-79.30306999999999,Entire home/apt,79,5,22,0
East End-Danforth,43.68181,-79.29047,Private room,68,1,41,163
Trinity-Bellwoods,43.64695,-79.4113,Entire home/apt,250,2,4,0
Banbury-Don Mills,43.729729999999996,-79.3312,Entire home/apt,52,1,0,0
Moss Park,43.659490000000005,-79.36883,Private room,101,1,26,0
South Parkdale,43.63734,-79.43249,Private room,45,2,38,0
Palmerston-Little Italy,43.65952,-79.41837,Private room,38,4,19,0
Roncesvalles,43.6422,-79.43115,Entire home/apt,128,2,8,0
Waterfront Communities-The Island,43.64478,-79.39992,Entire home/apt,110,2,1,0
Waterfront Communities-The Island,43.64035,-79.39258000000001,Private room,69,1,0,0
Niagara,43.64421,-79.40899999999999,Entire home/apt,99,1,289,310
Willowdale East,43.7648,-79.39372,Entire home/apt,101,1,0,0
Waterfront Communities-The Island,43.6417,-79.38189,Hotel room,199,1,238,341
Little Portugal,43.64107,-79.42336,Entire home/apt,75,2,0,0
Mount Pleasant West,43.69983,-79.39171999999999,Entire home/apt,85,3,20,0
Newtonbrook West,43.78573,-79.4376,Entire home/apt,110,4,27,348
Annex,43.67026,-79.39403,Entire home/apt,179,2,111,80
Kensington-Chinatown,43.653620000000004,-79.39565999999999,Private room,57,1,10,0
Clairlea-Birchmount,43.7044,-79.27139,Entire home/apt,95,1,134,2
Broadview North,43.68437,-79.35076,Entire home/apt,150,5,4,0
Henry Farm,43.77531,-79.34501999999999,Private room,38,2,25,257
Newtonbrook East,43.78054,-79.41424,Entire home/apt,99,365,3,256
South Riverdale,43.66252,-79.35034,Entire home/apt,175,2,6,0
Bay Street Corridor,43.66505,-79.38494,Entire home/apt,189,1,88,0
Waterfront Communities-The Island,43.64397,-79.39238,Private room,60,1,0,0
Mount Olive-Silverstone-Jamestown,43.75747,-79.59388,Entire home/apt,83,1,125,100
Niagara,43.64223,-79.40271,Entire home/apt,150,1,6,0
Church-Yonge Corridor,43.65914,-79.38091,Entire home/apt,99,1,19,318
Waterfront Communities-The Island,43.64671,-79.39206999999999,Entire home/apt,150,2,3,0
Oakridge,43.69409,-79.28605,Private room,50,1,0,0
Waterfront Communities-The Island,43.6382,-79.39754,Entire home/apt,101,2,10,0
Greenwood-Coxwell,43.67137,-79.32505,Entire home/apt,110,4,12,0
Annex,43.66961,-79.39378,Entire home/apt,113,2,38,0
Stonegate-Queensway,43.62467,-79.51501,Entire home/apt,99,1,10,0
Casa Loma,43.67725,-79.4144,Entire home/apt,90,1,1,0
Casa Loma,43.67801,-79.40406999999999,Entire home/apt,101,1,14,0
