neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
Danforth,43.6798,-79.34218,Entire home/apt,135,2,32,135
Kensington-Chinatown,43.65432,-79.39846999999999,Entire home/apt,113,1,211,169
Waterfront Communities-The Island,43.64878,-79.38691,Entire home/apt,150,5,12,30
North St.James Town,43.671440000000004,-79.37685,Private room,65,7,0,0
Dovercourt-Wallace Emerson-Junction,43.66633,-79.42851,Private room,60,3,18,353
Regent Park,43.65765,-79.36281,Private room,65,1,749,255
Palmerston-Little Italy,43.66137,-79.41074,Entire home/apt,79,60,2,136
Rosedale-Moore Park,43.671490000000006,-79.38611,Private room,95,1,3,257
Flemingdon Park,43.720290000000006,-79.33473000000001,Private room,40,2,29,296
Bay Street Corridor,43.6642,-79.38465,Entire home/apt,209,1,68,324
Willowdale East,43.76248,-79.40904,Entire home/apt,155,3,3,40
Waterfront Communities-The Island,43.64275,-79.39161,Entire home/apt,175,3,1,178
Willowdale East,43.76095,-79.40969,Entire home/apt,225,3,5,89
Waterfront Communities-The Island,43.64456,-79.39449,Entire home/apt,175,3,2,358
Annex,43.66859,-79.41411,Private room,101,3,28,0
Mount Pleasant West,43.69765,-79.39367,Private room,56,1,119,138
Mount Pleasant West,43.698440000000005,-79.39434,Shared room,42,2,89,364
Dufferin Grove,43.65395,-79.43132,Entire home/apt,65,7,3,0
East End-Danforth,43.68499,-79.29131,Entire home/apt,69,3,38,345
Moss Park,43.6617,-79.37496,Entire home/apt,195,2,211,254
Kensington-Chinatown,43.656459999999996,-79.4031,Private room,200,2,1,0
South Parkdale,43.63927,-79.43033,Entire home/apt,249,1,230,318
Woodbine Corridor,43.67711,-79.31048,Entire home/apt,52,7,1,322
Church-Yonge Corridor,43.66088,-79.38043,Private room,90,2,310,39
Humewood-Cedarvale,43.68698,-79.42234,Entire home/apt,140,30,9,0
Woodbine Corridor,43.677409999999995,-79.31079,Private room,26,30,15,143
Church-Yonge Corridor,43.65475,-79.37934,Hotel room,275,5,7,365
Church-Yonge Corridor,43.66883,-79.38365,Entire home/apt,199,360,0,365
Brookhaven-Amesbury,43.7063,-79.48768000000001,Private room,56,1,32,322
Waterfront Communities-The Island,43.64428,-79.40268,Entire home/apt,189,3,60,256
Waterfront Communities-The Island,43.64353,-79.40154,Entire home/apt,166,28,50,132
Oakwood Village,43.687670000000004,-79.44004,Entire home/apt,109,10,97,225
Wychwood,43.67775,-79.42171,Private room,75,3,0,256
Dovercourt-Wallace Emerson-Junction,43.66444,-79.42534,Entire home/apt,115,3,111,175
Parkwoods-Donalda,43.75809,-79.31778,Entire home/apt,200,120,1,291
Moss Park,43.657509999999995,-79.37178,Private room,79,3,12,324
Little Portugal,43.64887,-79.43202,Entire home/apt,163,2,116,160
Dovercourt-Wallace Emerson-Junction,43.66021,-79.43757,Entire home/apt,150,2,6,0
Junction Area,43.66585,-79.47556,Entire home/apt,87,5,163,313
Trinity-Bellwoods,43.652640000000005,-79.411,Entire home/apt,225,2,76,0
Parkwoods-Donalda,43.75864,-79.31796999999999,Entire home/apt,52,4,39,292
Dovercourt-Wallace Emerson-Junction,43.65875,-79.44551,Entire home/apt,143,7,60,287
Willowdale East,43.76542,-79.40359000000001,Entire home/apt,68,28,6,164
Roncesvalles,43.642790000000005,-79.43347,Entire home/apt,139,2,49,117
Niagara,43.64262,-79.40315,Shared room,66,1,0,0
Trinity-Bellwoods,43.65248,-79.40885,Private room,56,3,146,329
Palmerston-Little Italy,43.65899,-79.42474,Entire home/apt,295,7,18,335
Trinity-Bellwoods,43.65038,-79.41019,Private room,56,3,105,341
Waterfront Communities-The Island,43.639309999999995,-79.38174000000001,Entire home/apt,220,9,139,165
Moss Park,43.66002,-79.37217,Private room,79,3,8,322
Moss Park,43.65931,-79.37258,Private room,75,3,12,336
Moss Park,43.66015,-79.37206,Hotel room,56,3,23,295
Moss Park,43.65852,-79.37165,Private room,65,3,4,323
Moss Park,43.657959999999996,-79.37146,Private room,65,3,12,325
Moss Park,43.658229999999996,-79.37213,Private room,60,3,13,35
Moss Park,43.66004,-79.37175,Private room,60,3,5,22
