neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,availability_365
119,0.23073250308360116,0.4164632301018969,0.23076923076923075,0.0,0.05473965287049399,0.2
88,0.32964628178089583,0.5578936749722629,0.41471571906354515,0.0017793594306049823,0.0,0.0
5,0.6825289460072099,0.35577524462826204,0.36454849498327757,0.0008896797153024911,0.0053404539385847796,0.9095890410958904
14,0.3700712211037285,0.5845657217794837,0.5551839464882943,0.0017793594306049823,0.012016021361815754,0.0
79,0.25508295865992636,0.5131443558963156,0.451505016722408,0.0017793594306049823,0.0053404539385847796,0.0
67,0.6775951935701983,0.4250580046403627,0.1605351170568562,0.0017793594306049823,0.010680907877169559,0.9671232876712329
135,0.348903831615786,0.3891052153737462,0.5016722408026756,0.0035587188612099642,0.0,0.0
122,0.22042732662237086,0.48875214364974795,0.5016722408026756,0.0,0.06542056074766354,0.0410958904109589
23,0.25078581944057987,0.5034802784222734,0.3377926421404682,0.0008896797153024911,0.0026702269692923898,0.0821917808219178
3,0.3340627859786025,0.4260062544134371,0.6722408026755853,0.0008896797153024911,0.15220293724966621,0.07945205479452055
129,0.7765487605936414,0.4388782406940379,0.5016722408026756,0.0,0.14953271028037382,0.28493150684931506
23,0.3151633310786508,0.4900635529102999,0.5016722408026756,0.0,0.021361815754339118,0.0
68,0.5721163410655095,0.4580046403712288,0.6688963210702341,0.004448398576512456,0.009345794392523364,0.6547945205479452
122,0.23773524847808858,0.4660546756784072,0.4615384615384615,0.0035587188612099642,0.07476635514018691,0.726027397260274
103,0.22575896232046944,0.3637647533542179,0.2909698996655518,0.0017793594306049823,0.06141522029372497,0.5561643835616439
122,0.24621016193853507,0.47602138605870437,0.4816053511705686,0.02580071174377224,0.022696929238985312,0.09863013698630137
3,0.33597262563162644,0.4681529304953074,0.5016722408026756,0.05249110320284697,0.08144192256341788,0.2054794520547945
27,0.3504555763338999,0.3811157066478188,0.6020066889632107,0.0008896797153024911,0.029372496662216287,0.4931506849315069
29,0.4155890661679962,0.6193685060022176,0.3377926421404682,0.0008896797153024911,0.0,0.0
24,0.48736720646164144,0.7263189750832453,0.18729096989966554,0.0,0.19893190921228304,0.8
95,0.6943460788604625,0.615151820841362,0.12709030100334448,0.0,0.0053404539385847796,0.2
23,0.28969880237139023,0.4912942600625456,0.11371237458193979,0.0,0.03337783711615487,0.0
122,0.24581227867744815,0.4701099566226219,0.705685618729097,0.0017793594306049823,0.0013351134846461949,0.0
49,0.2848844149126535,0.33142338343586175,0.3846153846153846,0.0026690391459074734,0.03337783711615487,0.3232876712328767
101,0.5754187721322523,0.09964692827603017,0.21739130434782608,0.0026690391459074734,0.018691588785046728,0.19452054794520549
139,0.5085743842756472,0.3456471300312671,0.1505016722408027,0.0008896797153024911,0.018691588785046728,0.0
134,0.4144749930370324,0.6286492484616133,0.18729096989966554,0.0008896797153024911,0.025367156208277702,0.9534246575342465
111,0.6505391318187321,0.48651266014329053,0.6688963210702341,0.005338078291814947,0.0026702269692923898,0.36164383561643837
132,0.7447578880356502,0.7888227579944953,0.16722408026755853,0.0,0.0,0.4904109589041096
129,0.7499701587554171,0.4221527287400306,0.3311036789297659,0.0,0.008010680907877168,0.9534246575342465
122,0.22766880197349337,0.4473721375970854,0.20066889632107024,0.0,0.11481975967957277,0.1095890410958904
6,0.2526160824413921,0.48483809139514733,0.6287625418060201,0.0,0.05740987983978638,0.3917808219178082
72,0.03525245692915746,0.2032079088066041,0.11036789297658862,0.0008896797153024911,0.04138851802403204,0.30684931506849317
4,0.6084828711256023,0.5731463734489921,0.26421404682274247,0.0035587188612099642,0.0267022696929239,0.4904109589041096
78,0.7929415509489388,0.81581761323514,0.08695652173913043,0.0,0.028037383177570093,0.4794520547945206
